,Year,Athlete,Country,Time,Marathon
26,2007,Martin Lel,Kenya,02:07:41,London
25,2006,Felix Limo,Kenya,02:06:39,London
24,2005,Martin Lel,Kenya,02:07:35,London
23,2004,Evans Rutto,Kenya,02:06:18,London
22,2003,Gezahegne Abera,Ethiopia,02:07:56,London
21,2002,Khalid Khannouchi,United States,02:05:38,London
20,2001,Abdelkader El Mouaziz,Morocco,02:07:09,London
19,2000,António Pinto,Portugal,02:06:36,London
18,1999,Abdelkader El Mouaziz,Morocco,02:07:57,London
17,1998,Abel Antón,Spain,02:07:57,London
16,1997,António Pinto,Portugal,02:07:55,London
15,1996,Dionicio Cerón,Mexico,02:10:00,London
14,1995,Dionicio Cerón,Mexico,02:08:30,London
13,1994,Dionicio Cerón,Mexico,02:08:53,London
12,1993,Eamonn Martin,United Kingdom,02:10:50,London
11,1992,António Pinto,Portugal,02:10:02,London
10,1991,Yakov Tolstikov,Soviet Union,02:09:17,London
9,1990,Allister Hutton,United Kingdom,02:10:10,London
8,1989,Douglas Wakiihuri,Kenya,02:09:03,London
7,1988,Henrik Jørgensen,Denmark,02:10:20,London
6,1987,Hiromi Taniguchi,Japan,02:09:50,London
5,1986,Toshihiko Seko,Japan,02:10:02,London
4,1985,Steve Jones,United Kingdom,02:08:16,London
3,1984,Charlie Spedding,United Kingdom,02:09:57,London
2,1983,Mike Gratton,United Kingdom,02:09:43,London
1,1982,Hugh Jones,United Kingdom,02:09:24,London
0,1981,Dick Beardsley and Inge Simonson (Tie),United States and Norway,02:11:48,London
0,2018,Dickson Chumba,Kenya,02:05:30,Tokyo
1,2017,Wilson Kipsang,Kenya,02:03:58,Tokyo
2,2016,Feyisa Lilesa,Ethiopia,02:06:56,Tokyo
3,2015,Endeshaw Negesse,Ethiopia,02:06:00,Tokyo
4,2014,Dickson Chumba,Kenya,02:05:42,Tokyo
5,2013,Dennis Kimetto,Kenya,02:06:50,Tokyo
6,2012,Michael Kipyego,Kenya,02:07:37,Tokyo
7,2011,Hailu Mekonnen,Ethiopia,02:07:35,Tokyo
8,2010,Masakazu Fujiwara,Japan,02:12:19,Tokyo
9,2009,Salim Kipsang,Kenya,02:10:27,Tokyo
10,2008,Viktor Röthlin,Switzerland,02:07:23,Tokyo
11,2007,Daniel Njenga,Kenya,02:09:45,Tokyo
