Marathon,Year,Athlete,Country,Time
Chicago,1982,Greg Meyer,United States,02:10:59
Boston,1982,Alberto Salazar,United States,02:08:52
New York,1982,Alberto Salazar,United States,02:09:29
New York,1981,Alberto Salazar,United States,02:08:13
Chicago,1981,Phil Coppess,United States,02:16:13
Boston,1981,Toshihiko Seko,Japan,02:09:26
London,1981,Dick Beardsley and Inge Simonson (Tie),United States and Norway,02:11:48
Berlin,1981,Ian Ray,United Kingdom,02:15:42
New York,1980,Alberto Salazar,United States,02:09:41
Boston,1980,Bill Rodgers,United States,02:12:11
Berlin,1980,Ingo Sensburg,West Germany,02:16:48
Chicago,1980,Frank Richardson,United States,02:14:04
New York,1979,Bill Rodgers,United States,02:11:42
Berlin,1979,Ingo Sensburg,West Germany,02:21:09
Chicago,1979,Dan Cloeter,United States,02:23:20
Boston,1979,Bill Rodgers,United States,02:09:27
New York,1978,Bill Rodgers,United States,02:12:12
Boston,1978,Bill Rodgers,United States,02:10:13
Chicago,1978,Mark Stanforth,United States,02:19:20
Berlin,1978,Michael Spöttel,West Germany,02:20:03
Berlin,1977,Günter Mielke,West Germany,02:15:19
New York,1977,Bill Rodgers,United States,02:11:28
Chicago,1977,Dan Cloeter,United States,02:17:52
Boston,1977,Jerome Drayton,Canada,02:14:46
Boston,1976,Jack Fultz,United States,02:20:19
Berlin,1976,Ingo Sensburg,West Germany,02:23:08
New York,1976,Bill Rodgers,United States,02:10:10
Berlin,1975,Ralf Bochröder,West Germany,02:47:08
New York,1975,Tom Fleming,United States,02:19:27
Boston,1975,Bill Rodgers,United States,02:09:55
New York,1974,Norbert Sander,United States,02:26:30
Boston,1974,Neil Cusack,Ireland,02:13:39
Berlin,1974,Günter Hallas,West Germany,02:44:53
Boston,1973,Jon Anderson,United States,02:16:03
New York,1973,Tom Fleming,United States,02:21:54
New York,1972,Sheldon Karlin,United States,02:27:52
Boston,1972,Olavi Suomalainen,Finland,02:15:39
Boston,1971,Alvaro Mej,Colombia,02:18:45
New York,1971,Norman Higgins,United States,02:22:54
Boston,1970,Ron Hill,United Kingdom,02:10:30
New York,1970,Gary Muhrcke,United States,02:31:38
Boston,1969,Yoshiaki Unetani,Japan,02:13:49
Boston,1968,Amby Burfoot,United States,02:22:17
Boston,1967,Dave McKenzie,Zealand New,02:15:45
Boston,1966,Kenji Kimihara,Japan,02:17:11
Boston,1965,Morio Shigematsu,Japan,02:16:33
Boston,1964,Aur Vandendriessche,Belgium,02:19:59
Boston,1963,Aur Vandendriessche,Belgium,02:18:58
Boston,1962,Eino Oksanen,Finland,02:23:48
Boston,1961,Eino Oksanen,Finland,02:23:39
Boston,1960,Paavo Kotila,Finland,02:20:54
Boston,1959,Eino Oksanen,Finland,02:22:42
Boston,1958,Franjo Mihali,Yugoslavia,02:25:54
Boston,1957,John Kelley,United States,02:20:05
Boston,1956,Antti Viskari,Finland,02:14:14
Boston,1955,Hideo Hamamura,Japan,02:18:22
Boston,1954,Veikko Karvonen,Finland,02:20:39
Boston,1953,Keizo Yamada,Japan,02:18:51
Boston,1952,Doroteo Flores,Guatemala,02:31:53
Boston,1951,Shigeki Tanaka,Japan,02:27:45
Boston,1950,Kee Yong,South Korea,02:32:39
Boston,1949,Karl Leandersson,Sweden,02:31:50
Boston,1948,,Canada,02:31:02
Boston,1947,Suh Yun,South Korea,02:25:39
Boston,1946,Stylianos Kyriakides,Greece,02:29:27
Boston,1945,John Kelley,United States,02:30:40
Boston,1944,,Canada,02:31:50
Boston,1943,,Canada,02:28:25
Boston,1942,Joe Smith,United States,02:26:51
Boston,1941,Leslie Pawson,United States,02:30:38
Boston,1940,,Canada,02:28:28
Boston,1939,Ellison Brown,United States,02:28:51
Boston,1938,Leslie Pawson,United States,02:35:34
Boston,1937,Walter Young,Canada,02:33:20
Boston,1936,Ellison Brown,United States,02:33:40
Boston,1935,John Kelley,United States,02:32:07
Boston,1934,Dave Komonen,Canada,02:32:53
